Department Id,Latitude,Longitude,Customer City,Customer Country,Customer State,Customer Street
2,18.2514534,-66.03705597,Caguas,Puerto Rico,PR,5365 Noble Nectar Island
2,18.27945137,-66.0370636,Caguas,Puerto Rico,PR,2679 Rustic Loop
2,37.29223251,-121.881279,San Jose,EE. UU.,CA,8510 Round Bear Gate
2,34.12594605,-118.2910156,Los Angeles,EE. UU.,CA,3200 Amber Bend
2,18.25376892,-66.03704834,Caguas,Puerto Rico,PR,8671 Iron Anchor Corners
2,43.01396942,-78.87906647,Tonawanda,EE. UU.,NY,2122 Hazy Corner
2,18.24253845,-66.03705597,Caguas,Puerto Rico,PR,1879 Green Pine Bank
2,25.92886925,-80.16287231,Miami,EE. UU.,FL,7595 Cotton Log Row
2,18.23322296,-66.03705597,Caguas,Puerto Rico,PR,2051 Dusty Route
2,37.77399063,-121.966629,San Ramon,EE. UU.,CA,9139 Blue Blossom Court
2,18.28284454,-66.03705597,Caguas,Puerto Rico,PR,4058 Quiet Heights
2,40.65486527,-73.58707428,Freeport,EE. UU.,NY,3243 Shady Corner
2,36.6763382,-121.656517,Salinas,EE. UU.,CA,131 Sunny Treasure Green
2,18.27843857,-66.03705597,Caguas,Puerto Rico,PR,2531 Wishing Square
2,42.52627564,-70.92703247,Peabody,EE. UU.,MA,6417 Silver Towers
2,18.28404999,-66.03705597,Caguas,Puerto Rico,PR,257 Harvest Close
2,18.3957901,-65.87288666,Canovanas,Puerto Rico,PR,7342 Hazy Beacon Park
2,33.89869309,-118.1745605,Paramount,EE. UU.,CA,7787 Lazy Corners
2,18.233778,-66.0370636,Caguas,Puerto Rico,PR,5136 Rustic Pioneer Estates
2,42.04830551,-87.96134186,Mount Prospect,EE. UU.,IL,1723 Tawny Via
2,33.78245163,-118.1922455,Long Beach,EE. UU.,CA,7111 Silent Fox Gardens
2,18.28337669,-66.03705597,Caguas,Puerto Rico,PR,3732 Old Mountain Bank
2,38.61177445,-121.2828674,Rancho Cordova,EE. UU.,CA,6217 Rustic Lake Forest
2,18.20733643,-66.03705597,Caguas,Puerto Rico,PR,1082 Quiet Treasure Link
2,45.78831101,-108.5594101,Billings,EE. UU.,MT,3176 Round Gate
2,18.26163292,-66.03705597,Caguas,Puerto Rico,PR,1426 Fallen Line
2,41.23545456,-75.86985779,Wilkes Barre,EE. UU.,PA,9814 Emerald Prairie Limits
2,18.27022362,-66.0370636,Caguas,Puerto Rico,PR,8271 Tawny Elk Abbey
2,41.86886215,-84.57365418,Roseville,EE. UU.,MI,3931 Gentle Ramp
2,33.90942383,-118.1253586,Bellflower,EE. UU.,CA,9699 Honey Rise
2,18.27526093,-66.0370636,Caguas,Puerto Rico,PR,1564 Rocky Terrace
2,41.86544037,-88.10990143,Wheaton,EE. UU.,IL,4294 High Passage
2,18.28713608,-66.03705597,Caguas,Puerto Rico,PR,5918 Golden Beacon Freeway
2,42.39110184,-83.13121796,Detroit,EE. UU.,MI,3915 Broad Lookout
2,32.86539459,-96.86858368,Dallas,EE. UU.,TX,7190 Silver Horse Glade
2,18.24074173,-66.03705597,Caguas,Puerto Rico,PR,830 Broad Beacon Maze
